trajectory_source,subset,contrast,metric,et_measure,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,ffd,24,-0.004347826086956522,0.9839134567350358,-0.04403223979796157,0.8381220935407399,0.9935650421080593,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,ffd,24,0.08434782608695651,0.6951626031358499,0.14544443014486994,0.4977008785963548,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,ffd,24,-0.006956521739130434,0.9742640605332525,-0.08025672730524736,0.7093053839721886,0.9911198401272534,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,ffd,24,-0.1060869565217391,0.6217515088671185,0.3297286981796312,0.11560899028559178,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,ffd,24,0.0634782608695652,0.768242407223753,0.1144360592486301,0.5944167979431285,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,ffd,24,0.1417391304347826,0.5088324543263878,0.0966404082658358,0.6532733607426595,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,gz,24,0.07344371949397967,0.733063743067684,-0.041463799440840554,0.8474533811793015,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,gz,24,0.009565217391304347,0.9646181660759277,0.06607077482651033,0.7590447634642256,0.9911198401272534,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,gz,24,0.05130434782608695,0.8118206065534151,-0.0273955097864452,0.8988859091316067,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,gz,24,-0.13130434782608694,0.5408189353993529,-0.07582123787122405,0.7247445325983475,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,gz,24,0.07826086956521738,0.7162392905010877,0.2354690153231268,0.2680164377466974,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,gz,24,0.002608695652173913,0.9903476848039034,-0.03269186865151967,0.8794652696055305,0.9935650421080593,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,gz,24,-0.06869565217391303,0.749764493394595,-0.12480313374527077,0.5612079672305725,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,gp,24,0.10448243428012581,0.6270622257503551,0.23147316000953236,0.2764576158474643,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,gp,24,-0.046956521739130425,0.8275237958648594,-0.18645946063829166,0.382998795436213,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,gp,24,0.11130434782608695,0.6046100724044843,0.21991627041866713,0.3018090502773557,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,gp,24,-0.07130434782608694,0.7405746871767942,-0.07164261968624605,0.7393855248279857,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,gp,24,-0.33652173913043476,0.10785620119274736,-0.16909280918079694,0.42960200189541564,0.773407881723603,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,gp,24,0.15739130434782608,0.46264909166367674,0.20141343852073978,0.34528895735493625,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,gp,24,0.18608695652173912,0.38396703397174836,0.2598290134014855,0.22014630743669378,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,tt,24,-0.04808814966867716,0.8234302273255322,-0.035927846997313925,0.867632008548504,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,tt,24,0.19999999999999998,0.34875573272354543,0.18670127248355084,0.38237100660579715,0.9727939923156125,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,tt,24,-0.06173913043478261,0.7744295754905792,-0.07739276930724459,0.7192620410442758,0.9727939923156125,False
