subset,contrast,cond_a,cond_b,item,diff_steps_taken,diff_final_surprisal,diff_final_entropy,diff_final_sampler_entropy,diff_final_sampler_p_target,diff_cumulative_kl,diff_sampler_cumulative_kl
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,20,-218.0,2.419563302102791,-1.3210492134094238,0.09369087219238281,-0.015300278551876545,-0.22571307031466858,-0.49609237402910367
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,21,-383.0,-0.1306590236038936,-1.591836929321289,1.0688786506652832,5.603163663181476e-05,-0.4860445672238711,-0.64647754188627
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,22,-379.0,2.8199056114597667,-3.9278311729431152,-0.8964881896972656,-0.0025036768638528883,-0.32571045679287636,-0.3922434718115255
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,23,149.0,-0.22533968618631306,1.521878719329834,1.0196318626403809,-1.6054968909884337e-07,0.20619632343004923,0.6779915224760771
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,24,259.0,-1.3023856891660426,2.6300201416015625,-0.27919483184814453,-1.2126940418966115e-05,0.0950309512008971,0.24143208749592304
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,2,98.0,0.09521274639500632,0.640129566192627,-0.5301332473754883,-6.465312480941066e-07,0.03404324282746529,0.13689028774388134
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,3,4.0,0.07138371956517275,1.1318573951721191,1.7150611877441406,-1.0170660971198231e-05,0.1257728899436188,0.42083946528146043
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,4,-223.0,3.279568555496766,-1.6917228698730469,-0.21338701248168945,-1.1962499911533087e-05,-0.183437276751647,-0.38201889814808965
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,5,149.0,0.4542251113035114,0.9272165298461914,-0.9819831848144531,-8.705157142685493e-06,0.05371908205052023,0.0635375062120147
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,6,-379.0,2.2817917414388766,-3.499624729156494,-0.8604693412780762,-0.00720844604074955,-0.2523521186740254,-0.23986259021330625
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,7,4.0,2.3371331009537037,0.38191747665405273,0.7636146545410156,-0.005635357927531004,0.025988864384999033,0.10133204847807065
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,8,-411.0,2.695618055039894,-3.370303153991699,-0.4820380210876465,-0.0013677714159712195,-0.37748782085691346,-0.4403340838616714
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,9,481.0,-2.0661408511945236,3.8941365480422974,0.896059513092041,-1.540480661788024e-05,0.14827027741921484,0.41167220612987876
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,10,98.0,0.25379146299732547,1.3316147327423096,1.1196155548095703,-4.8245165089610964e-05,0.4014818042960542,1.2889413046650589
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,11,-201.0,3.502787812623513,-1.657197117805481,0.5045795440673828,-3.2829724659677595e-05,-0.04808060166396899,-0.4303529425524175
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,12,-404.0,3.2066284685875743,-3.0345563888549805,0.5549464225769043,-1.06758379843086e-05,-0.16986766050831648,-1.0341537403292023
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,13,319.0,0.6179816701465004,2.5974419116973877,0.0017647743225097656,-8.321067616634537e-05,0.3397061486757593,0.9914831158239394
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,14,-404.0,3.600061299835966,-3.9962759613990784,-0.24160289764404297,-0.0010128391440957785,-0.27109136434592074,-2.080214424233418
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,15,227.0,0.3010406725907053,1.9004693031311035,0.36591625213623047,-9.910560038406402e-06,0.15789433071768144,0.5086228703148663
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,16,-404.0,3.6236712847039207,-3.9156404733657837,0.035330772399902344,-7.613372872583568e-05,-0.5602263760083588,-2.0380460306769237
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,17,-404.0,4.1003473514197,-3.5365095138549805,0.8030338287353516,-4.78910169476876e-06,-0.18239707432076102,-1.0275768240680918
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,18,-287.0,1.4247551791653024,-2.6639883518218994,0.37755489349365234,7.455361696884211e-07,-0.0922854085220024,-0.5561593853635713
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,19,654.0,-1.356700706915051,3.888765811920166,-1.169046401977539,-8.951345080276951e-06,0.6981053082563449,1.2015365582192317
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,1,-287.0,1.601499553094202,-2.158595085144043,-0.011868000030517578,0.0005887663282919675,-0.09385738125638454,-0.6232151813455857
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,20,674.0,-0.9244550704380483,4.826347351074219,-0.035628318786621094,-0.0008700030157342553,0.7350892419672164,0.9861165953916498
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,21,149.0,-2.205746930646871,1.745471477508545,0.9469985961914062,4.6604531235061586e-05,0.07660537408082746,0.07760386599693447
